Rosalind_8404 Rosalind_2412
Rosalind_0437 Rosalind_8404
Rosalind_0437 Rosalind_7113
Rosalind_0437 Rosalind_0678
Rosalind_0437 Rosalind_4813
Rosalind_9586 Rosalind_6082
Rosalind_9586 Rosalind_7717
Rosalind_9586 Rosalind_9966
Rosalind_9586 Rosalind_5247
Rosalind_9586 Rosalind_3309
Rosalind_9586 Rosalind_1343
Rosalind_5476 Rosalind_3579
Rosalind_5476 Rosalind_4537
Rosalind_0512 Rosalind_5649
Rosalind_0512 Rosalind_1465
Rosalind_0512 Rosalind_8240
Rosalind_1532 Rosalind_3462
Rosalind_0522 Rosalind_0237
Rosalind_0522 Rosalind_1450
Rosalind_0522 Rosalind_5347
Rosalind_6082 Rosalind_5725
Rosalind_6082 Rosalind_4116
Rosalind_6082 Rosalind_1469
Rosalind_6082 Rosalind_5253
Rosalind_6082 Rosalind_7634
Rosalind_9267 Rosalind_0237
Rosalind_9267 Rosalind_1450
Rosalind_9267 Rosalind_5347
Rosalind_5649 Rosalind_7700
Rosalind_5829 Rosalind_9586
Rosalind_5829 Rosalind_3546
Rosalind_5829 Rosalind_3507
Rosalind_1930 Rosalind_7700
Rosalind_6374 Rosalind_2349
Rosalind_5725 Rosalind_6374
Rosalind_5725 Rosalind_1418
Rosalind_4856 Rosalind_8583
Rosalind_8702 Rosalind_9633
Rosalind_3579 Rosalind_4856
Rosalind_3579 Rosalind_6530
Rosalind_7723 Rosalind_5191
Rosalind_2246 Rosalind_7700
Rosalind_2263 Rosalind_6082
Rosalind_2263 Rosalind_7717
Rosalind_2263 Rosalind_9966
Rosalind_2263 Rosalind_5247
Rosalind_2263 Rosalind_3309
Rosalind_2263 Rosalind_1343
Rosalind_7698 Rosalind_9962
Rosalind_7698 Rosalind_6169
Rosalind_1065 Rosalind_2271
Rosalind_1065 Rosalind_3615
Rosalind_1052 Rosalind_7689
Rosalind_1052 Rosalind_1173
Rosalind_8300 Rosalind_2271
Rosalind_8300 Rosalind_3615
Rosalind_1465 Rosalind_9267
Rosalind_2349 Rosalind_3579
Rosalind_2349 Rosalind_4537
Rosalind_1278 Rosalind_6082
Rosalind_1278 Rosalind_7717
Rosalind_1278 Rosalind_9966
Rosalind_1278 Rosalind_5247
Rosalind_1278 Rosalind_3309
Rosalind_1278 Rosalind_1343
Rosalind_4116 Rosalind_7957
Rosalind_7717 Rosalind_0512
Rosalind_6169 Rosalind_5006
Rosalind_6169 Rosalind_5269
Rosalind_8583 Rosalind_4856
Rosalind_8583 Rosalind_6530
Rosalind_7622 Rosalind_7068
Rosalind_7622 Rosalind_8503
Rosalind_4201 Rosalind_8676
Rosalind_1135 Rosalind_9862
Rosalind_1135 Rosalind_8719
Rosalind_3462 Rosalind_8583
Rosalind_9966 Rosalind_1278
Rosalind_9966 Rosalind_7747
Rosalind_9966 Rosalind_2067
Rosalind_0237 Rosalind_4201
Rosalind_0237 Rosalind_3920
Rosalind_0237 Rosalind_5670
Rosalind_3920 Rosalind_0237
Rosalind_3920 Rosalind_1450
Rosalind_3920 Rosalind_5347
Rosalind_6294 Rosalind_6082
Rosalind_6294 Rosalind_7717
Rosalind_6294 Rosalind_9966
Rosalind_6294 Rosalind_5247
Rosalind_6294 Rosalind_3309
Rosalind_6294 Rosalind_1343
Rosalind_5791 Rosalind_6082
Rosalind_5791 Rosalind_7717
Rosalind_5791 Rosalind_9966
Rosalind_5791 Rosalind_5247
Rosalind_5791 Rosalind_3309
Rosalind_5791 Rosalind_1343
Rosalind_1469 Rosalind_7068
Rosalind_1469 Rosalind_8503
Rosalind_7113 Rosalind_4856
Rosalind_7113 Rosalind_6530
Rosalind_4537 Rosalind_2246
Rosalind_4537 Rosalind_1065
Rosalind_4537 Rosalind_1135
Rosalind_0394 Rosalind_9586
Rosalind_0394 Rosalind_3546
Rosalind_0394 Rosalind_3507
Rosalind_4942 Rosalind_9633
Rosalind_1753 Rosalind_1052
Rosalind_7458 Rosalind_6082
Rosalind_7458 Rosalind_7717
Rosalind_7458 Rosalind_9966
Rosalind_7458 Rosalind_5247
Rosalind_7458 Rosalind_3309
Rosalind_7458 Rosalind_1343
Rosalind_8503 Rosalind_5006
Rosalind_8503 Rosalind_5269
Rosalind_1418 Rosalind_7957
Rosalind_7689 Rosalind_5191
Rosalind_5191 Rosalind_2263
Rosalind_5191 Rosalind_3161
Rosalind_5191 Rosalind_7822
Rosalind_3546 Rosalind_0512
Rosalind_7707 Rosalind_1753
Rosalind_3615 Rosalind_5725
Rosalind_3615 Rosalind_4116
Rosalind_3615 Rosalind_1469
Rosalind_3615 Rosalind_5253
Rosalind_3615 Rosalind_7634
Rosalind_3507 Rosalind_1930
Rosalind_3309 Rosalind_8676
Rosalind_9862 Rosalind_2349
Rosalind_3172 Rosalind_2271
Rosalind_3172 Rosalind_3615
Rosalind_7957 Rosalind_9621
Rosalind_1979 Rosalind_0437
Rosalind_1979 Rosalind_7698
Rosalind_4955 Rosalind_0923
Rosalind_6530 Rosalind_1052
Rosalind_5488 Rosalind_1532
Rosalind_5488 Rosalind_0522
Rosalind_7634 Rosalind_9586
Rosalind_7634 Rosalind_3546
Rosalind_7634 Rosalind_3507
Rosalind_1343 Rosalind_7689
Rosalind_1343 Rosalind_1173
Rosalind_7747 Rosalind_8300
Rosalind_7747 Rosalind_5791
Rosalind_7747 Rosalind_1979
Rosalind_2412 Rosalind_5476
Rosalind_4912 Rosalind_9862
Rosalind_4912 Rosalind_8719
Rosalind_9621 Rosalind_7723
Rosalind_2067 Rosalind_7957
Rosalind_0854 Rosalind_8300
Rosalind_0854 Rosalind_5791
Rosalind_0854 Rosalind_1979
Rosalind_3558 Rosalind_2271
Rosalind_3558 Rosalind_3615
Rosalind_8719 Rosalind_3172
Rosalind_5575 Rosalind_6082
Rosalind_5575 Rosalind_7717
Rosalind_5575 Rosalind_9966
Rosalind_5575 Rosalind_5247
Rosalind_5575 Rosalind_3309
Rosalind_5575 Rosalind_1343
Rosalind_7620 Rosalind_7723
Rosalind_4813 Rosalind_5126
Rosalind_4813 Rosalind_3469
Rosalind_4813 Rosalind_7458
